no / na
new / no
better / behtar
bad / bad
good / khūb
amalgam / malghameh
chin / chāneh
lip / lab
cow / gāv
door / dar
dent(al) / dandān
mort(ality) / marg
brother / barādar
mother / mādar
father / pedar
daughter / dokhtar
chai / chāyi
mouse / mūsh
eyebrow / abrū
tableau / tāblo
elephant / fil
soap / sābūn
name / nām
ponder / pendār
tree / derakht
warm / garm
star / setāreh
navel / nāf
moon / māh
barbarian / barbar
god / khodā
fairy / pari
candy / ghand
paradise / pardis
sugar / shekar
coffee / ghahveh
caviar / khāviyār
devil / div
lemon / limū
margaret / morvarid
mummy / mūmiyayi
typhoon / tūfān
jungle / jangal




questionable:
structure / saakhtaar | struct / saakht
gourmet / ghormeh
parchment / paarcheh
sneeze / atseh
shoulder / shāneh
weight / vazn
is / ast
begar / bikār
sponge / esfanj
saffron / zaferān
spinach / esfanāj
ped / pā





doesn't count:
sauce / sos
television / televizion
rook / rōkh







sources:
https://en.wikipedia.org/wiki/List_of_English_words_of_Persian_origin
https://pappubahry.com/maps/ie_cognates/
[English and Persian Cognates/Pseudo Cognates-A Cross-Linguistic Investigation](http://www.eltsjournal.org/archive/value3%20issue1/3-3-1-15.pdf)
myself :)
